feedback,sentiment,timestamp,department,patient_age_group,visit_type
The staff member was present when needed. Waited as expected. Basic but functional facility.,1,2024-03-31 11:26:59.468877,Surgery,31-45,Consultation
The treatment was okay! care team did their job as expected! Normal wait times.,1,2024-03-31 11:26:59.472011,Emergency,18-30,Routine Checkup
"Minimal waiting time. Moreover, surgeon provided excellent care and attention. Moreover, Well-maintained hospital environment.",2,2024-03-31 11:26:59.474301,Surgery,18-30,Follow-up
"Regular facility conditions. Also, Treatment was as expected. Also, The nurse was okay.",1,2024-03-31 11:26:59.478123,Cardiology,75+,Procedure
Normal wait times.,1,2024-03-31 11:26:59.478888,Neurology,61-75,Emergency
"Got seen right away. Moreover, Well-maintained hospital environment. Moreover, Excellent treatment results.",2,2024-03-31 11:26:59.480935,General Medicine,61-75,Procedure
Minimal waiting time.,2,2024-03-31 11:26:59.480952,Obstetrics,46-60,Procedure
"Well-maintained hospital environment. Moreover, Great outcome from the treatment.",2,2024-03-31 11:26:59.482543,Emergency,61-75,Procedure
"The facility was clean and modern. Additionally, Exceptional service from the healthcare provider. Additionally, The procedure went very well.",2,2024-03-31 11:26:59.483137,Oncology,31-45,Routine Checkup
"State-of-the-art equipment. Moreover, Great outcome from the treatment. Moreover, The physician was extremely professional and caring.",2,2024-03-31 11:26:59.483559,Obstetrics,31-45,Emergency
Standard procedure. Basic but functional facility.,1,2024-03-31 11:26:59.483587,General Medicine,31-45,Routine Checkup
Excellent facilities.,2,2024-03-31 11:26:59.484737,Surgery,46-60,Procedure
No delays in the appointment.,2,2024-03-31 11:26:59.487308,Cardiology,46-60,Consultation
Cleanliness issues in the facility. The waiting time was frustrating. Poor communication from the care team.,0,2024-03-31 11:26:59.490980,Surgery,75+,Consultation
"Acceptable cleanliness. Also, Regular interaction with the nurse. Also, Treatment was as expected.",1,2024-04-01 11:26:59.447863,Emergency,46-60,Consultation
Basic but functional facility! Standard procedure! Regular interaction with the doctor.,1,2024-04-01 11:26:59.448107,Obstetrics,61-75,Routine Checkup
"receptionist did their job as expected. Additionally, Standard procedure. Additionally, Regular facility conditions.",1,2024-04-01 11:26:59.448155,Oncology,75+,Procedure
Minimal waiting time.,2,2024-04-01 11:26:59.450554,Obstetrics,31-45,Consultation
Excessive waiting time.,0,2024-04-01 11:26:59.450637,General Medicine,75+,Procedure
Standard hospital environment.,1,2024-04-01 11:26:59.454352,Emergency,31-45,Procedure
State-of-the-art equipment.,2,2024-04-01 11:26:59.455046,Orthopedics,18-30,Consultation
"Minimal waiting time. Also, Completely satisfied with the care received.",2,2024-04-01 11:26:59.456065,Neurology,46-60,Follow-up
"The facility needs updating. Moreover, Not happy with the results. Moreover, Poor communication from the specialist.",0,2024-04-01 11:26:59.456763,Oncology,31-45,Emergency
Excellent facilities.,2,2024-04-01 11:26:59.459235,Orthopedics,31-45,Emergency
Excessive waiting time.,0,2024-04-01 11:26:59.459634,Obstetrics,75+,Follow-up
"Basic but functional facility. Also, Treatment was as expected. Also, Normal wait times.",1,2024-04-01 11:26:59.460601,Cardiology,31-45,Routine Checkup
"No delays in the appointment. Moreover, Very comfortable environment. Moreover, Very impressed with the nurse's expertise.",2,2024-04-01 11:26:59.462173,General Medicine,46-60,Procedure
"Impressed with how quickly I was seen. Moreover, The procedure went very well.",2,2024-04-01 11:26:59.463396,Neurology,31-45,Procedure
"Minimal waiting time. Additionally, Exceptional service from the care team.",2,2024-04-01 11:26:59.464580,Surgery,46-60,Procedure
"The healthcare provider was okay. Also, Normal wait times.",1,2024-04-01 11:26:59.467252,Obstetrics,31-45,Routine Checkup
Standard hospital environment! Average waiting time.,1,2024-04-01 11:26:59.469311,Surgery,46-60,Procedure
The facility was clean and modern. Very effective treatment. Got seen right away.,2,2024-04-01 11:26:59.469339,Surgery,75+,Consultation
"The healthcare provider was not very helpful. Moreover, The procedure didn't help much. Moreover, The facility needs updating.",0,2024-04-01 11:26:59.476100,Cardiology,61-75,Emergency
Had to wait too long.,0,2024-04-01 11:26:59.479419,Oncology,18-30,Procedure
The treatment was okay! The specialist was okay! Waited as expected.,1,2024-04-01 11:26:59.480896,General Medicine,75+,Follow-up
"Exceptional service from the care team. Also, Great outcome from the treatment.",2,2024-04-01 11:26:59.483057,Pediatrics,61-75,Procedure
Treatment was as expected.,1,2024-04-01 11:26:59.483261,General Medicine,75+,Routine Checkup
Normal wait times.,1,2024-04-01 11:26:59.491611,Surgery,31-45,Follow-up
Treatment was as expected.,1,2024-04-01 11:26:59.491834,Oncology,31-45,Consultation
"The treatment wasn't effective. Additionally, Had to wait too long.",0,2024-04-02 11:26:59.450195,Oncology,75+,Routine Checkup
"Excellent facilities. Moreover, Very impressed with the healthcare provider's expertise.",2,2024-04-02 11:26:59.451362,Oncology,61-75,Routine Checkup
Completely satisfied with the care received! Exceptional service from the physician.,2,2024-04-02 11:26:59.453549,Oncology,18-30,Follow-up
"Treatment was as expected. Moreover, Acceptable cleanliness.",1,2024-04-02 11:26:59.454499,Neurology,18-30,Routine Checkup
"Well-maintained hospital environment. Additionally, No delays in the appointment.",2,2024-04-02 11:26:59.458677,Emergency,18-30,Procedure
"Basic but functional facility. Additionally, Average waiting time.",1,2024-04-02 11:26:59.458998,Pediatrics,75+,Consultation
Well-maintained hospital environment.,2,2024-04-02 11:26:59.459214,Surgery,46-60,Routine Checkup
"Regular interaction with the specialist. Also, Waited as expected.",1,2024-04-02 11:26:59.464888,Obstetrics,18-30,Emergency
"Poor treatment experience. Moreover, Poor maintenance of the premises.",0,2024-04-02 11:26:59.467551,Neurology,46-60,Procedure
Poor treatment experience.,0,2024-04-02 11:26:59.468028,Oncology,75+,Consultation
Basic but functional facility.,1,2024-04-02 11:26:59.469047,Obstetrics,31-45,Routine Checkup
Got seen right away.,2,2024-04-02 11:26:59.469697,Neurology,18-30,Consultation
Outdated equipment.,0,2024-04-02 11:26:59.472841,Oncology,31-45,Routine Checkup
"The facility was clean and modern. Moreover, Exceptional service from the receptionist.",2,2024-04-02 11:26:59.473293,Pediatrics,75+,Emergency
"The procedure went very well. Moreover, State-of-the-art equipment. Moreover, Got seen right away.",2,2024-04-02 11:26:59.473673,Obstetrics,75+,Emergency
"Had to wait too long. Also, Disappointed with the physician's attitude. Also, Uncomfortable environment.",0,2024-04-02 11:26:59.475478,Oncology,18-30,Consultation
Poor maintenance of the premises. The care team was not very helpful.,0,2024-04-02 11:26:59.475582,Surgery,18-30,Procedure
Very comfortable environment.,2,2024-04-02 11:26:59.477966,Neurology,46-60,Follow-up
Got seen right away. Exceptional service from the surgeon.,2,2024-04-02 11:26:59.479329,Neurology,75+,Routine Checkup
No delays in the appointment! Excellent facilities! Excellent treatment results.,2,2024-04-02 11:26:59.479406,Surgery,18-30,Follow-up
Regular treatment process.,1,2024-04-02 11:26:59.480066,Oncology,46-60,Emergency
Average waiting time.,1,2024-04-02 11:26:59.480513,Cardiology,18-30,Routine Checkup
surgeon provided excellent care and attention. Excellent treatment results.,2,2024-04-02 11:26:59.483864,Pediatrics,46-60,Emergency
"The surgeon was extremely professional and caring. Moreover, Very comfortable environment.",2,2024-04-02 11:26:59.489917,Orthopedics,18-30,Emergency
"The medical team was present when needed. Additionally, Regular facility conditions. Additionally, Regular treatment process.",1,2024-04-02 11:26:59.490961,Surgery,46-60,Emergency
"Minimal waiting time. Additionally, Very effective treatment.",2,2024-04-02 11:26:59.491528,Pediatrics,46-60,Emergency
Regular facility conditions.,1,2024-04-03 11:26:59.444822,Pediatrics,75+,Procedure
Treatment was as expected.,1,2024-04-03 11:26:59.445873,Pediatrics,31-45,Routine Checkup
The treatment was okay.,1,2024-04-03 11:26:59.448727,Pediatrics,46-60,Procedure
"Well-maintained hospital environment. Moreover, Very effective treatment. Moreover, The doctor was extremely professional and caring.",2,2024-04-03 11:26:59.450013,Orthopedics,46-60,Follow-up
Poor maintenance of the premises.,0,2024-04-03 11:26:59.451279,Obstetrics,31-45,Follow-up
The healthcare provider seemed rushed and inattentive.,0,2024-04-03 11:26:59.453656,Neurology,31-45,Routine Checkup
Uncomfortable environment. The nurse was not very helpful. The waiting time was frustrating.,0,2024-04-03 11:26:59.453792,General Medicine,46-60,Consultation
The procedure didn't help much.,0,2024-04-03 11:26:59.453930,Surgery,31-45,Emergency
Impressed with how quickly I was seen! Very effective treatment.,2,2024-04-03 11:26:59.456466,Oncology,31-45,Emergency
The treatment was okay.,1,2024-04-03 11:26:59.458359,Surgery,18-30,Emergency
Acceptable cleanliness.,1,2024-04-03 11:26:59.459059,Neurology,18-30,Follow-up
"The receptionist was extremely professional and caring. Also, State-of-the-art equipment.",2,2024-04-03 11:26:59.462457,Emergency,61-75,Procedure
The wait was reasonable! The healthcare provider was present when needed.,1,2024-04-03 11:26:59.463218,Pediatrics,31-45,Emergency
"No delays in the appointment. Also, The procedure went very well.",2,2024-04-03 11:26:59.463669,Pediatrics,75+,Procedure
Very efficient process.,2,2024-04-03 11:26:59.464702,Obstetrics,31-45,Routine Checkup
Basic but functional facility.,1,2024-04-03 11:26:59.471464,Surgery,46-60,Procedure
"Standard hospital environment. Also, The nurse was present when needed.",1,2024-04-03 11:26:59.471785,Cardiology,46-60,Emergency
Basic but functional facility.,1,2024-04-03 11:26:59.473288,Neurology,61-75,Routine Checkup
Standard procedure.,1,2024-04-03 11:26:59.473626,Cardiology,75+,Routine Checkup
The healthcare provider seemed rushed and inattentive! Unacceptable delays.,0,2024-04-03 11:26:59.474904,Surgery,46-60,Follow-up
The specialist was present when needed. Acceptable cleanliness.,1,2024-04-03 11:26:59.475142,Surgery,75+,Emergency
"Completely satisfied with the care received. Also, Impressed with how quickly I was seen.",2,2024-04-03 11:26:59.476170,Emergency,46-60,Procedure
Well-maintained hospital environment.,2,2024-04-03 11:26:59.477323,Oncology,18-30,Consultation
"Waited as expected. Additionally, Standard procedure. Additionally, physician did their job as expected.",1,2024-04-03 11:26:59.479592,Pediatrics,46-60,Emergency
The facility was clean and modern. specialist provided excellent care and attention. Minimal waiting time.,2,2024-04-03 11:26:59.480222,Orthopedics,46-60,Routine Checkup
Very impressed with the surgeon's expertise.,2,2024-04-03 11:26:59.481535,Pediatrics,46-60,Consultation
"Minimal waiting time. Moreover, Great outcome from the treatment.",2,2024-04-03 11:26:59.483445,Obstetrics,31-45,Procedure
The facility needs updating. Unacceptable delays.,0,2024-04-03 11:26:59.484256,Cardiology,31-45,Procedure
The facility was clean and modern! Completely satisfied with the care received.,2,2024-04-03 11:26:59.487219,Pediatrics,31-45,Emergency
Disappointed with the physician's attitude. Uncomfortable environment. Unacceptable delays.,0,2024-04-03 11:26:59.490624,Orthopedics,18-30,Emergency
"Minimal waiting time. Moreover, Very comfortable environment. Moreover, Very effective treatment.",2,2024-04-03 11:26:59.490923,Orthopedics,18-30,Routine Checkup
Basic but functional facility.,1,2024-04-04 11:26:59.446606,Neurology,46-60,Emergency
The specialist was okay.,1,2024-04-04 11:26:59.447008,Emergency,75+,Follow-up
"Uncomfortable environment. Moreover, The treatment wasn't effective.",0,2024-04-04 11:26:59.448723,General Medicine,61-75,Routine Checkup
Great outcome from the treatment! State-of-the-art equipment! specialist provided excellent care and attention.,2,2024-04-04 11:26:59.455074,Oncology,18-30,Follow-up
Exceptional service from the medical team.,2,2024-04-04 11:26:59.456987,Emergency,46-60,Emergency
Excellent facilities. The procedure went very well.,2,2024-04-04 11:26:59.457856,Cardiology,18-30,Consultation
Poor treatment experience.,0,2024-04-04 11:26:59.458543,Obstetrics,31-45,Consultation
Very comfortable environment. specialist provided excellent care and attention. Completely satisfied with the care received.,2,2024-04-04 11:26:59.458934,Obstetrics,75+,Routine Checkup
"Very efficient process. Moreover, The surgeon was extremely professional and caring.",2,2024-04-04 11:26:59.459335,General Medicine,31-45,Follow-up
"surgeon did their job as expected. Also, Average waiting time. Also, Standard hospital environment.",1,2024-04-04 11:26:59.461322,Emergency,46-60,Follow-up
Regular facility conditions. Standard procedure. Average waiting time.,1,2024-04-04 11:26:59.461441,General Medicine,46-60,Follow-up
Excellent facilities.,2,2024-04-04 11:26:59.462686,General Medicine,75+,Follow-up
"The procedure went very well. Moreover, Minimal waiting time.",2,2024-04-04 11:26:59.465657,General Medicine,61-75,Emergency
"Great outcome from the treatment. Additionally, Excellent facilities.",2,2024-04-04 11:26:59.466703,Obstetrics,31-45,Emergency
"State-of-the-art equipment. Also, Very impressed with the physician's expertise.",2,2024-04-04 11:26:59.467420,Neurology,31-45,Follow-up
Completely satisfied with the care received. The care team took time to explain everything clearly. Well-maintained hospital environment.,2,2024-04-04 11:26:59.467794,Neurology,46-60,Consultation
Spent hours waiting.,0,2024-04-04 11:26:59.476277,Orthopedics,31-45,Emergency
"Standard procedure. Also, Normal wait times.",1,2024-04-04 11:26:59.476847,Oncology,18-30,Routine Checkup
Well-maintained hospital environment.,2,2024-04-04 11:26:59.477970,Orthopedics,31-45,Follow-up
The specialist was extremely professional and caring.,2,2024-04-04 11:26:59.479579,Neurology,18-30,Procedure
"Very effective treatment. Also, The physician was extremely professional and caring. Also, Minimal waiting time.",2,2024-04-04 11:26:59.479925,Orthopedics,18-30,Consultation
